ticker,company_name,cik,source,distress_label,distress_event_date,distress_event_type,brd_chapter,brd_disposition,brd_emerged,brd_days_in_bk,brd_fresh_start,brd_refiled,brd_dip_loan,brd_sale_363,brd_prepackaged,brd_voluntary,brd_ceo_replaced,brd_trustee_appointed,brd_assets_before_m,brd_sales_before_m,brd_ebit_before_m,brd_sic_description,brd_sic_division,brd_after_emerging,brd_date_emerging,brd_year_emerged,brd_days_emerge_to_refile,brd_name_emerging,brd_assets_emerging_m,brd_sales_emerging_m,brd_ebit_emerging_m,brd_ebitda_emerging_m,brd_net_income_emerging_m
,Eastman Kodak Company,0000031235,lopucki_brd,1,2012-01-19,chapter_11,11,other,1,582.0,0,0,1,0,0,1,1,0,4678.0,6022.0,371.0,Photographic Equipment and Supplies,D: Manufacturing,,2013-08-23,2013.0,,Eastman Kodak Company,3200.0,2102.0,-18.0,154.0,1985.0
,Edison Mission Energy,0000930835,lopucki_brd,1,2012-12-17,chapter_11,11,other,0,449.0,0,0,0,0,1,1,0,0,8323.0,2180.0,5.0,Electric Services,"E: Transportation, Communications, Electric, Gas",sold assets to NRG at confirmation,,,,Edison Mission Energy,,,,,
,"Emerald Oil, Inc.",0001283843,lopucki_brd,1,2016-03-22,chapter_11,11,other,1,367.0,0,1,1,1,0,1,1,0,689.059876,112.607831,-45.871,Crude Petroleum and Natural Gas,B: Mining,,2016-11-01,2016.0,1290.0,New Emerald Energy LLC,,,,,
,Endeavour International Corporation,0001112412,lopucki_brd,1,2014-10-10,chapter_11,11,dismissed,0,423.0,0,0,0,1,1,1,0,0,1524.842,337.664,60.482,Crude Petroleum and Natural Gas,B: Mining,,,,,liquidated,,,,,
,Endo International plc,0001593034,lopucki_brd,1,2022-08-16,chapter_11,11,pending,0,,0,0,0,0,1,1,0,0,8767.415,2993.206,856.613,Pharmaceutical Preparations,D: Manufacturing,,,,,pending,,,,,
,Energy Future Holdings Corp.,0001023291,lopucki_brd,1,2014-04-29,chapter_11,11,other,1,1400.0,0,0,1,0,1,1,1,0,36446.0,5899.0,-7.0,Electric Services,"E: Transportation, Communications, Electric, Gas","Renamed Sempra Texas Holdings Corp. upon emergence from the EFH Bankruptcy Proceedings and closing of the Sempra Acquisition. Its major subsidiaries include Oncor and, prior to the closing of the Vistra Spin-Off, TCEH.",2018-02-27,2018.0,,Sempra Texas Holdings Corp.,,,,,
,Energy XXI Ltd,0001343719,lopucki_brd,1,2016-04-14,chapter_11,11,other,1,243.0,0,0,0,0,0,1,1,0,4690.829,1405.452,-2381.598,Oil and Gas Field Exploration Services,B: Mining,,2016-12-13,2016.0,,"Energy XXI Gulf Coast, Inc.",1076.982,511.644,-315.969,-123.038,-341.01
,Erickson Incorporated,0001490165,lopucki_brd,1,2016-11-08,chapter_11,11,other,1,134.0,0,0,1,0,0,1,1,0,601.653,297.52,17.3,,D: Manufacturing,,2017-03-22,2017.0,,Erickson Incorporated,,,,,
,Exide Technologies (2013),0000813781,lopucki_brd,1,2013-06-10,chapter_11,11,other,1,655.0,0,1,1,0,0,1,1,0,2004.43,2971.698,18.134,,D: Manufacturing,,2015-03-27,2015.0,1880.0,Exide Technologies,,,,,
,"Extraction Oil & Gas, Inc.",0001655020,lopucki_brd,1,2020-06-14,chapter_11,11,other,1,192.0,0,0,1,0,0,1,1,0,2926.957,906.635,-1362.071,Crude Petroleum and Natural Gas,B: Mining,,2020-12-23,2020.0,,"Extraction Oil & Gas, Inc.",,,,,
,"FTS International, Inc.",0001529463,lopucki_brd,1,2020-09-22,chapter_11,11,other,1,43.0,1,0,0,0,1,1,0,0,639.3,776.6,18.6,"Oil and Gas Field Services, Not Elsewhere Classified",B: Mining,,2020-11-04,2020.0,,"FTS International, Inc.",315.0,,-84.2,-10.9,-37.8
,"Ferrellgas Partners, L.P. (Ferrellgas Partners Finance Corp.)",0000922358,lopucki_brd,1,2021-01-11,chapter_11,11,other,1,53.0,0,0,0,0,1,1,0,0,1668.19,1497.826,156.594,,G: Retail Trade,,2021-03-05,2021.0,,"Ferrellgas Partners, L.P.",1729.644,,,,
,FiberTower Corporation,0001010286,lopucki_brd,1,2012-07-17,chapter_11,11,other,0,559.0,0,0,0,0,1,1,1,0,558.47,76.118,-37.124,Radiotelephone Communications,"E: Transportation, Communications, Electric, Gas",ceased operations before confirmation,,,,FiberTower Corporation,,,,,
,First Mariner Bancorp,0000946090,lopucki_brd,1,2014-02-10,chapter_11,11,other,0,301.0,0,0,1,1,0,1,0,0,1015.829,102.61,9.034,State Commercial Banks,"H: Finance, Insurance, And Real Estate",,,,,liquidated,,,,,
,First NBC Bank Holding Company,0001496631,lopucki_brd,1,2017-05-11,chapter_11,11,other,0,1100.0,0,0,0,0,0,1,0,0,4705.825,165.902,38.573,State Commercial Banks,"H: Finance, Insurance, And Real Estate",,,,,liquidated,,,,,
,First Place Financial Corp.,0001068912,lopucki_brd,1,2012-10-29,chapter_11,11,converted,0,147.0,0,0,0,1,0,1,0,0,3152.639,206.591,4.059,"Savings Institutions, Federally Chartered","H: Finance, Insurance, And Real Estate",,,,,pending,,,,,
,FirstEnergy Solutions Corp.,0001407703,lopucki_brd,1,2018-03-31,chapter_11,11,other,1,564.0,0,0,0,0,0,1,1,0,5514.0,14017.0,-35.0,Electric Services,"E: Transportation, Communications, Electric, Gas",,2019-10-16,2019.0,,Energy Harbor Corp.,,,,,
,FirstFed Financial Corp.,0000810536,lopucki_brd,1,2010-01-06,chapter_11,11,other,1,1042.0,0,0,0,0,0,1,1,0,7451.0,439.049,-428.178,"Savings Institutions, Federally Chartered","H: Finance, Insurance, And Real Estate","merged with and into FirstFed Capital, Inc., a Maryland corporation",2012-11-13,2012.0,,"FirstFed Capital, Inc.",,,,,
,Foresight Energy LP,0001540729,lopucki_brd,1,2020-03-10,chapter_11,11,other,1,106.0,0,0,1,0,1,1,0,0,2119.119,841.517,-21.515,,B: Mining,,2020-06-24,2020.0,,Foresight Energy Resources LLC,,,,,
,Frontier Communications Corporation,0000020520,lopucki_brd,1,2020-04-14,chapter_11,11,other,1,135.0,1,0,1,0,1,1,1,0,17488.0,8107.0,1466.0,"Telephone Communications, Except Radiophones","E: Transportation, Communications, Electric, Gas",,2020-08-27,2020.0,,"Frontier Communications Parent, Inc.",16481.0,,,,
,"Furniture Brands International, Inc. (2013)",0000050957,lopucki_brd,1,2013-09-09,chapter_11,11,other,0,308.0,0,0,1,1,0,1,0,0,618.441,1072.324,-26.719,,D: Manufacturing,,,,,liquidated,,,,,
,GMX Resources Inc.,0001127342,lopucki_brd,1,2013-04-01,chapter_11,11,other,1,296.0,0,0,1,0,1,1,1,0,542.201,116.741,-182.762,Crude Petroleum and Natural Gas,B: Mining,,2014-01-22,2014.0,,Thunderbird Resources Equity Inc. and Thbrd Res LP,,,,,
,"GNC Holdings, Inc.",0001502034,lopucki_brd,1,2020-06-23,chapter_11,11,other,1,113.0,0,0,1,1,1,1,0,0,1650.587,2068.188,147.925,,G: Retail Trade,wholly owned subsidiary of Harbin and registered in Delaware as a limited liability company,2020-09-18,2020.0,,GNC Holdings LLC,,,,,
,GT Advanced Technologies Inc.,0001394954,lopucki_brd,1,2014-10-06,chapter_11,11,other,1,519.0,0,0,1,0,0,1,1,0,1187.281,298.967,-82.691,Semiconductors and Related Devices,D: Manufacturing,,2016-03-08,2016.0,,GT Advanced Technologies Inc.,,,,,
